iter	MAE
371	36590.75642
372	36559.83347
373	36534.00498
374	36521.47977
375	36506.61165
376	36500.75067
377	36491.21757
378	36476.22568
379	36448.39498
380	36440.98564
381	36429.44613
382	36406.14127
383	36338.52492
384	36295.48996
385	36249.36703
386	36238.10604
387	36219.25463
388	36165.73033
389	36157.85523
390	36109.43125
391	36071.07195
392	36051.15178
393	36035.28463
394	36028.45169
395	35981.29891
396	35964.26708
397	35955.56536
398	35937.48204
399	35902.32831
400	35898.0798
401	35892.37615
402	35872.49244
403	35866.95559
404	35859.57354
405	35843.56531
406	35835.92111
407	35804.08233
408	35791.75525
409	35718.45141
410	35654.9628
411	35612.53085
412	35589.13024
413	35530.1554
414	35495.83861
415	35377.06276
416	35276.18299
417	35239.10771
418	35199.17958
419	35131.34695
420	35096.01691
421	35083.00099
422	35064.96355
423	35004.66735
424	34989.29102
425	34965.8265
426	34945.28648
427	34860.82044
428	34848.05427
429	34842.33667
430	34817.57551
431	34778.23411
432	34704.07898
433	34627.75924
434	34597.88443
435	34588.06679
436	34564.96781
437	34529.2131
438	34525.99094
439	34517.35315
440	34504.233
441	34492.35695
442	34481.69419
443	34354.26645
444	34336.14325
445	34326.23131
446	34303.30573
447	34205.69593
448	34198.82087
449	34196.56256
450	34174.84323
451	34147.82414
452	34138.82412
453	34134.29796
454	34131.31974
455	34128.21489
456	34106.10689
457	34087.63682
458	34008.58374
459	33994.03603
460	33922.52839
461	33892.11542
462	33854.4869
463	33810.02443
464	33792.574
465	33766.7088
466	33736.31293
467	33722.94195
468	33685.63276
469	33682.58169
470	33652.87455
471	33647.08589
472	33621.65534
473	33616.36409
474	33610.65411
475	33520.57802
476	33441.63643
477	33397.41379
478	33389.44692
479	33382.61092
480	33374.89039
481	33305.82481
482	33300.49169
483	33296.13838
484	33267.41477
485	33261.40821
486	33231.09094
487	33228.0408
488	33187.95707
489	33178.55026
490	33163.69978
491	33154.26267
492	33129.74173
493	33114.83177
494	33110.43602
495	33104.69238
496	33102.03722
497	33096.96358
498	33085.80531
499	33076.99235
500	33071.49471
501	33047.17642
502	33030.28201
503	33001.29134
504	32993.19591
505	32979.9334
506	32965.59337
507	32962.58959
508	32946.32617
509	32915.20927
510	32905.94984
511	32893.01668
512	32877.58709
513	32747.92103
514	32736.47771
515	32700.99898
516	32690.78628
517	32676.99725
518	32644.83596
519	32634.66449
520	32624.91747
521	32618.91281
522	32608.43874
523	32605.24705
524	32586.52308
525	32575.2114
526	32561.73931
527	32559.14597
528	32555.37021
529	32550.45543
530	32523.54245
531	32506.71995
532	32499.14501
533	32462.29907
534	32367.77851
535	32352.41775
536	32331.25713
537	32314.96152
538	32293.57061
539	32229.57683
540	32197.12174
541	32183.11435
542	32151.23444
543	32122.58059
544	32096.47182
545	32091.52143
546	32064.6971
547	32036.64991
548	32033.71915
549	32008.59169
550	31996.0296
551	31985.90336
552	31982.75302
553	31979.96015
554	31977.83575
555	31955.34105
556	31946.14972
557	31914.06029
558	31908.23508
559	31868.05768
560	31861.33294
561	31853.23428
562	31846.07727
563	31845.05546
564	31835.29987
565	31823.70848
566	31817.83719
567	31804.76088
568	31786.21239
569	31734.79134
570	31733.56655
571	31727.50529
572	31717.0523
573	31702.49442
574	31689.6181
575	31681.60378
576	31651.7649
577	31640.8061
578	31601.92042
579	31594.46394
580	31581.58629
581	31561.01452
582	31549.57386
583	31537.57624
584	31520.35665
585	31514.68528
586	31496.96668
587	31493.6925
588	31477.7831
589	31381.48102
590	31338.66785
591	31321.99003
592	31316.66348
593	31309.51557
594	31301.60818
595	31281.67759
596	31278.02703
597	31273.53444
598	31229.53384
599	31214.90962
600	31186.4904
601	31175.44791
602	31165.62356
603	31142.08928
604	31140.66016
605	31134.25796
606	31115.82659
607	31112.3088
608	31087.56877
609	31071.7784
610	31054.29129
611	31037.68174
612	31028.97411
613	31015.87974
614	31011.9055
615	31004.1166
616	31000.04521
617	30981.89046
618	30955.66788
619	30942.61846
620	30833.71221
621	30729.67535
622	30714.79215
623	30708.18659
624	30645.97983
625	30638.26706
626	30630.4573
627	30586.76619
628	30580.81914
629	30559.28257
630	30548.97364
631	30529.55888
632	30521.56705
633	30500.35712
634	30477.40008
635	30469.19723
636	30458.72261
637	30446.72087
638	30419.93425
639	30391.59424
640	30368.48565
641	30363.78413
642	30360.07615
643	30350.44858
644	30341.07174
645	30326.26484
646	30304.74238
647	30282.7864
648	30280.00912
649	30254.65777
650	30250.94265
651	30248.22001
652	30244.65678
653	30241.28587
654	30231.93861
655	30196.42378
656	30176.96368
657	30164.96211
658	30161.7976
659	30089.88085
660	30085.77446
661	30083.56832
662	30078.58212
663	30063.48813
664	30053.17443
665	29992.2303
666	29974.9931
667	29968.58766
668	29961.83351
669	29950.49892
670	29899.68495
671	29877.21744
672	29866.52907
673	29852.97587
674	29828.94014
675	29805.40035
676	29786.84712
677	29768.83007
678	29758.92244
679	29749.91628
680	29739.8347
681	29732.09753
682	29699.06736
683	29672.19934
684	29666.07303
685	29644.17002
686	29619.30471
687	29606.72831
688	29599.16568
689	29596.33617
690	29588.93524
691	29579.04403
692	29566.17684
693	29555.20882
694	29538.44538
695	29531.50434
696	29527.27234
697	29522.42935
698	29518.16997
699	29510.99442
700	29496.81634
701	29472.44788
702	29462.63804
703	29432.56534
704	29411.92204
705	29386.21817
706	29368.91048
707	29311.9168
708	29228.85112
709	29198.97757
710	29194.01466
711	29188.24891
712	29185.0371
713	29176.6763
714	29174.26257
715	29171.44247
716	29166.72384
717	29146.23461
718	29139.83898
719	29132.49742
720	29110.41703
721	29099.08439
722	29081.94273
723	29069.40293
724	29048.99461
725	29034.89628
726	29031.4218
727	29005.19712
728	28999.53505
729	28986.34414
730	28979.51135
731	28976.65519
732	28960.5226
733	28930.46491
734	28927.98015
735	28921.15084
736	28904.00704
737	28892.58012
738	28888.56714
739	28862.54235
740	28859.76712
741	28800.03614
742	28797.29007
743	28767.22684
744	28762.65417
745	28758.55075
746	28738.55496
747	28727.12346
748	28723.59765
749	28720.37342
750	28716.98406
751	28702.09667
752	28697.75426
753	28664.78451
754	28661.0444
755	28653.40629
756	28648.51424
757	28642.73792
758	28564.91549
759	28558.28255
760	28547.54487
761	28479.96851
762	28473.23671
763	28427.71595
764	28412.69385
765	28403.8926
766	28386.24663
767	28382.30023
768	28374.72358
769	28371.92242
770	28342.37249
771	28328.20597
772	28320.20478
773	28311.83199
774	28300.69795
