usableAreas,totalAreas,suites,bathrooms,bedrooms,parkingSpaces,neighborhood,monthlyCondoFee,price,adult_game_room,air_conditioning,balcony,barbecue_grill,concierge_24h,dinner_room,electronic_gate,elevator,furnished,garden,gated_community,gourmet_space,gym,intercom,laundry,party_hall,pets_allowed,playground,service_area,sports_court,pool,price_per_sqft
62,77.0,1.0,2,3,1.0,Água Verde,654.7089985486211,650000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8441.558441558442
63,81.0,1.0,2,1,1.0,Bigorrilho,640.0,645000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7962.962962962963
105,174.0,1.0,2,3,2.0,outros,532.01741195093,900000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5172.413793103448
70,70.0,1.0,2,3,2.0,Cabral,550.0,600000,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,8571.42857142857
42,50.0,0.0,1,1,1.0,Água Verde,350.0,260000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5200.0
91,91.0,1.0,3,3,1.0,Água Verde,700.0,648000,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,7120.879120879121
74,74.0,1.0,2,3,1.0,outros,500.0,410000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5540.540540540541
33,33.0,0.0,1,1,0.0,outros,363.0,250000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7575.757575757576
65,139.0,1.0,2,1,1.0,Centro,590.0654275092937,690000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4964.028776978417
34,50.0,0.0,1,1,1.0,Centro,453.0,200000,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,4000.0
73,96.0,1.0,2,2,1.0,Portão,531.0,695000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7239.583333333333
94,94.0,1.0,2,3,2.0,outros,700.0,748000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7957.446808510638
30,54.0,0.0,1,1,1.0,Portão,430.0,299000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5537.037037037037
98,156.0,1.0,3,3,2.0,outros,550.0,780000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000.0
40,55.0,0.0,1,1,0.0,Centro,300.0,169000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3072.7272727272725
57,80.0,1.0,2,1,1.0,outros,473.0,650000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8125.0
76,76.0,1.0,2,3,1.0,outros,490.0,580000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7631.578947368421
109,127.0,1.0,2,2,2.0,outros,420.0,829000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6527.55905511811
133,150.0,1.0,2,3,1.0,outros,500.0,810000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5400.0
82,105.0,1.0,2,2,2.0,outros,577.0,890000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8476.190476190477
33,40.0,0.0,1,1,1.0,outros,260.0,200000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000.0
36,69.0,0.0,1,1,1.0,outros,490.0,379000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5492.753623188406
76,124.0,1.0,2,3,1.0,outros,490.0,580000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4677.419354838709
84,84.0,1.0,2,3,2.0,Cidade Industrial,514.3671328671329,392410,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4671.547619047619
20,31.0,1.0,1,1,0.0,Bigorrilho,350.0,245000,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,7903.225806451613
70,70.0,1.0,2,3,1.0,outros,350.0,500000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7142.857142857143
24,37.0,1.0,1,1,0.0,Centro,470.0,283850,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7671.621621621622
31,59.0,0.0,1,1,0.0,Água Verde,341.0,300000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5084.745762711865
84,153.0,1.0,2,3,2.0,outros,532.01741195093,749900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4901.307189542484
105,185.0,1.0,2,3,2.0,outros,700.0,899000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4859.459459459459
59,59.0,1.0,2,3,1.0,outros,250.0,280000,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4745.762711864407
59,74.0,0.0,1,2,1.0,Cabral,678.0,340000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4594.594594594595
115,145.0,1.0,3,4,2.0,outros,532.01741195093,930000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6413.793103448276
69,82.0,1.0,2,3,2.0,outros,600.0,495000,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,6036.585365853659
77,99.0,1.0,2,3,1.0,outros,340.0,509900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5150.50505050505
102,102.0,1.0,3,3,3.0,Bigorrilho,990.0,774900,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,7597.058823529412
35,74.0,0.0,1,1,1.0,outros,420.0,239000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3229.7297297297296
62,62.0,1.0,1,2,1.0,Portão,494.774011299435,501900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8095.1612903225805
90,142.0,1.0,2,3,3.0,Água Verde,500.0,978990,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,6894.295774647887
59,59.0,1.0,2,3,1.0,Cidade Industrial,514.3671328671329,249900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4235.593220338983
42,42.0,0.0,1,1,1.0,Portão,330.0,185000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4404.761904761905
76,76.0,1.0,2,3,1.0,outros,490.0,579000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7618.421052631579
28,47.0,0.0,1,1,1.0,outros,280.0,209900,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,4465.95744680851
114,114.0,2.0,3,3,1.0,Água Verde,654.7089985486211,815000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,7149.122807017544
60,98.0,0.0,1,2,1.0,Cidade Industrial,514.3671328671329,489000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4989.7959183673465
48,62.0,0.0,1,1,0.0,Cabral,520.0,275000,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,4435.4838709677415
87,127.0,1.0,2,3,1.0,outros,450.0,699000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5503.937007874016
19,32.0,0.0,1,1,1.0,Rebouças,500.0,223821,False,True,False,True,True,False,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,6994.40625
76,80.0,1.0,1,2,1.0,Cristo Rei,580.0,450000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5625.0
92,127.0,1.0,2,3,1.0,outros,560.0,630000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4960.629921259842
111,191.0,1.0,3,3,2.0,outros,1077.0,920000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4816.753926701571
70,102.0,1.0,2,3,1.0,outros,518.0,490000,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,True,True,False,4803.921568627451
67,87.0,1.0,2,3,1.0,Portão,494.774011299435,514000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5908.045977011494
91,91.0,1.0,2,3,2.0,Vila Izabel,545.5098039215686,899000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9879.12087912088
108,183.0,1.0,2,3,2.0,outros,532.01741195093,921684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5036.524590163935
36,73.0,1.0,1,1,1.0,Centro,590.0654275092937,170000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2328.7671232876714
76,76.0,1.0,2,2,1.0,Centro,512.0,689000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9065.78947368421
73,108.0,2.0,3,2,1.0,outros,500.0,620230,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5742.87037037037
113,113.0,2.0,3,3,2.0,Cidade Industrial,800.0,828000,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7327.433628318584
46,46.0,1.0,2,2,1.0,outros,532.01741195093,305824,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6648.347826086957
102,158.0,1.0,2,3,2.0,outros,570.0,830000,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,5253.164556962025
87,87.0,1.0,2,3,1.0,Cristo Rei,580.3571428571429,773131,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8886.563218390804
75,75.0,1.0,2,3,2.0,outros,532.01741195093,554456,True,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,7392.746666666667
30,41.0,0.0,1,1,0.0,Centro,590.0654275092937,410000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10000.0
